id,customer_id,shipping_address_id,channel_id,carrier,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,tracking_number,dias_de_entrega
9000000061,1337,1084,1,Correo Argentino,667.0,10:20:56,670.0,10:20:56,TRK-1JVAA08D71,3.0
9000000062,1442,3,2,PICKUP,598.0,12:02:28,599.0,12:02:28,,1.0
9000000063,939,1406,1,Correo Argentino,392.0,10:17:58,394.0,10:17:58,TRK-4QRWG4O3VS,2.0
9000000064,1409,1307,1,Correo Argentino,670.0,14:45:27,672.0,14:45:27,TRK-GHR4X51MO5,2.0
9000000065,1062,2399,1,Correo Argentino,502.0,00:43:41,506.0,00:43:41,TRK-Y0WLIWLAP3,4.0
9000000066,988,1134,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000067,778,2248,1,Correo Argentino,708.0,16:23:15,713.0,16:23:15,TRK-WPHKOKPY98,5.0
9000000068,77,1620,1,Correo Argentino,577.0,10:53:38,580.0,10:53:38,TRK-95ADJ6QXJ8,3.0
9000000069,700,1476,1,Correo Argentino,405.0,09:38:45,410.0,09:38:45,TRK-75UERJVV88,5.0
9000000070,425,1428,1,Correo Argentino,813.0,23:51:05,817.0,23:51:05,TRK-SHAJ4MH7LK,4.0
9000000071,1271,3,2,PICKUP,444.0,18:00:06,445.0,18:00:06,,1.0
9000000072,1129,3536,1,Correo Argentino,274.0,08:20:17,279.0,08:20:17,TRK-NH83FI4OJA,5.0
9000000073,1224,2119,1,Correo Argentino,583.0,21:18:19,586.0,21:18:19,TRK-3BTEYU6C8K,3.0
9000000074,446,3064,1,Correo Argentino,590.0,04:41:02,596.0,04:41:02,TRK-NQPTS0MMBB,6.0
9000000075,867,3681,1,Correo Argentino,688.0,18:16:20,692.0,18:16:20,TRK-A7O7MMZ1H4,4.0
9000000076,127,4185,1,Correo Argentino,302.0,10:21:11,304.0,10:21:11,TRK-Z56VK3U0QJ,2.0
9000000077,874,1,2,PICKUP,579.0,22:39:17,580.0,22:39:17,,1.0
9000000078,814,3363,1,Correo Argentino,616.0,21:43:22,619.0,21:43:22,TRK-N8XZ4OSU2M,3.0
9000000079,1189,1836,1,Correo Argentino,866.0,02:56:19,870.0,02:56:19,TRK-XADN2TVDNH,4.0
9000000080,584,1065,1,Correo Argentino,557.0,06:28:22,562.0,06:28:22,TRK-S1OQO0J4EA,5.0
9000000081,1433,1949,1,Correo Argentino,640.0,01:45:35,643.0,01:45:35,TRK-LSXL8NV9UZ,3.0
9000000082,670,4099,1,Correo Argentino,871.0,10:27:35,874.0,10:27:35,TRK-4U2I1W5ENR,3.0
9000000083,464,1838,1,Correo Argentino,282.0,17:47:09,286.0,17:47:09,TRK-3QNYBMC06W,4.0
9000000084,535,1149,1,Correo Argentino,571.0,14:26:24,574.0,14:26:24,TRK-LWD8M7AMND,3.0
9000000085,655,3181,1,Correo Argentino,667.0,02:58:24,669.0,02:58:24,TRK-0RBFVTM6X4,2.0
9000000086,833,3247,1,Correo Argentino,837.0,10:52:28,839.0,10:52:28,TRK-A169DTQM73,2.0
9000000087,490,2445,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000088,360,2456,1,Correo Argentino,275.0,13:58:21,280.0,13:58:21,TRK-TBUL818CS4,5.0
9000000089,1227,2172,1,Correo Argentino,776.0,12:09:30,779.0,12:09:30,TRK-BJOJ02WY0U,3.0
9000000090,624,1034,1,Correo Argentino,268.0,19:31:23,272.0,19:31:23,TRK-E1JQQXF2A8,4.0
9000000091,228,3298,1,Correo Argentino,289.0,18:12:47,291.0,18:12:47,TRK-9YZ6V1VTIX,2.0
9000000092,770,1772,1,Correo Argentino,406.0,13:46:23,408.0,13:46:23,TRK-UO5Q5LF7GD,2.0
9000000093,54,2,2,PICKUP,559.0,23:26:31,560.0,23:26:31,,1.0
9000000094,1006,4,2,PICKUP,602.0,03:05:36,603.0,03:05:36,,1.0
9000000095,247,2291,1,Correo Argentino,875.0,18:29:43,879.0,18:29:43,TRK-RRS7KQI5WW,4.0
9000000096,1127,3,2,PICKUP,749.0,10:43:41,750.0,10:43:41,,1.0
9000000097,757,2,2,PICKUP,404.0,17:56:54,405.0,17:56:54,,1.0
9000000098,520,3443,1,Correo Argentino,623.0,08:09:07,628.0,08:09:07,TRK-N1XL8YRR4C,5.0
9000000099,258,1224,1,Correo Argentino,299.0,14:31:08,303.0,14:31:08,TRK-HUON3QASLA,4.0
9000000100,467,2885,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000101,3,1219,1,Correo Argentino,331.0,02:45:40,336.0,02:45:40,TRK-BD9O45FG3M,5.0
9000000102,334,3863,1,Correo Argentino,565.0,07:00:43,569.0,07:00:43,TRK-RBXP2IU4CP,4.0
9000000103,802,3,2,PICKUP,325.0,03:53:52,326.0,03:53:52,,1.0
9000000104,999,4048,1,Correo Argentino,324.0,20:55:17,328.0,20:55:17,TRK-TPWY0TUZG2,4.0
9000000105,176,3440,1,Correo Argentino,374.0,04:27:32,377.0,04:27:32,TRK-3BQ6FWSKLW,3.0
9000000106,801,3956,1,Correo Argentino,646.0,08:09:53,648.0,08:09:53,TRK-6DCLEDO515,2.0
9000000107,1113,2943,1,Correo Argentino,384.0,03:56:26,389.0,03:56:26,TRK-RB1W0XWXVT,5.0
9000000108,810,4,2,PICKUP,791.0,04:11:46,792.0,04:11:46,,1.0
9000000109,581,4,2,PICKUP,353.0,08:18:05,354.0,08:18:05,,1.0
9000000110,1284,2,2,PICKUP,,00:00:00,,00:00:00,,
9000000111,1333,2876,1,Correo Argentino,596.0,15:47:41,600.0,15:47:41,TRK-UXV2O2QSZO,4.0
9000000112,24,2,2,PICKUP,665.0,17:43:31,666.0,17:43:31,,1.0
9000000113,1222,1,2,PICKUP,,00:00:00,,00:00:00,,
9000000114,63,1,2,PICKUP,501.0,08:06:28,502.0,08:06:28,,1.0
9000000115,1078,3,1,Correo Argentino,291.0,00:47:44,293.0,00:47:44,TRK-9SFI30M85Y,2.0
9000000116,1091,3609,1,Correo Argentino,424.0,10:24:47,427.0,10:24:47,TRK-GCUU54HEAG,3.0
9000000117,524,2254,1,Correo Argentino,626.0,22:11:52,629.0,22:11:52,TRK-YVM19QXR2C,3.0
9000000118,1229,3390,1,Correo Argentino,835.0,15:04:32,837.0,15:04:32,TRK-JRBNVL0OS3,2.0
9000000119,458,4,2,PICKUP,803.0,11:54:38,804.0,11:54:38,,1.0
9000000120,68,2653,1,Correo Argentino,350.0,21:41:14,352.0,21:41:14,TRK-YMYMMHLK1B,2.0
9000000121,959,4,2,PICKUP,595.0,05:03:44,596.0,05:03:44,,1.0
9000000122,356,1,2,PICKUP,848.0,14:57:49,849.0,14:57:49,,1.0
9000000123,530,1001,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000124,1420,4004,1,Correo Argentino,278.0,12:15:32,282.0,12:15:32,TRK-OUKA4E7YCS,4.0
9000000125,279,3,2,PICKUP,431.0,08:16:06,432.0,08:16:06,,1.0
9000000126,779,3,2,PICKUP,404.0,02:24:10,405.0,02:24:10,,1.0
9000000127,1383,3113,1,Correo Argentino,300.0,13:19:21,304.0,13:19:21,TRK-LP15TFTZWC,4.0
9000000128,1189,2352,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000129,1016,4036,1,Correo Argentino,867.0,22:24:46,870.0,22:24:46,TRK-OTE0Q32RV2,3.0
9000000130,595,3,2,PICKUP,747.0,02:27:57,748.0,02:27:57,,1.0
9000000131,902,4,2,PICKUP,265.0,03:24:41,266.0,03:24:41,,1.0
9000000132,317,3542,1,Correo Argentino,449.0,17:23:51,454.0,17:23:51,TRK-ZK0XF0TEFY,5.0
9000000133,1229,2,2,PICKUP,406.0,15:46:34,407.0,15:46:34,,1.0
9000000134,279,3,2,PICKUP,246.0,02:05:46,247.0,02:05:46,,1.0
9000000135,1498,4,2,PICKUP,391.0,07:35:31,392.0,07:35:31,,1.0
9000000136,140,2769,1,Correo Argentino,627.0,19:30:04,631.0,19:30:04,TRK-SB9FYY9V3Z,4.0
9000000137,1115,3541,1,Correo Argentino,561.0,23:46:06,566.0,23:46:06,TRK-8EM2BGA7SC,5.0
9000000138,1240,2700,1,Correo Argentino,244.0,08:23:39,248.0,08:23:39,TRK-W6GIOKOQS8,4.0
9000000139,590,2032,1,Correo Argentino,338.0,23:11:09,343.0,23:11:09,TRK-Q8P6U5PS47,5.0
9000000140,645,3,2,PICKUP,654.0,21:56:48,655.0,21:56:48,,1.0
9000000141,545,1,2,PICKUP,575.0,21:24:24,576.0,21:24:24,,1.0
9000000142,1208,2951,1,Correo Argentino,783.0,13:32:09,785.0,13:32:09,TRK-AT0A573HXB,2.0
9000000143,551,1,2,PICKUP,398.0,00:59:40,399.0,00:59:40,,1.0
9000000144,569,1,2,PICKUP,,00:00:00,,00:00:00,,
9000000145,1305,4174,1,Correo Argentino,807.0,14:47:44,811.0,14:47:44,TRK-5WJ0VSGHJU,4.0
9000000146,280,3727,1,Correo Argentino,367.0,01:52:36,372.0,01:52:36,TRK-XNALT4U6O3,5.0
9000000147,1338,2468,1,Correo Argentino,583.0,21:23:08,588.0,21:23:08,TRK-TVS9QKJFPY,5.0
9000000148,84,3443,1,Correo Argentino,779.0,18:11:01,782.0,18:11:01,TRK-IAC72SYOJT,3.0
9000000149,655,2113,1,Correo Argentino,628.0,22:14:19,633.0,22:14:19,TRK-86P5XH4ZUZ,5.0
9000000150,513,4,2,PICKUP,756.0,23:20:50,757.0,23:20:50,,1.0
9000000151,884,3,2,PICKUP,347.0,17:06:04,348.0,17:06:04,,1.0
9000000152,385,2,2,PICKUP,248.0,00:18:03,249.0,00:18:03,,1.0
9000000153,723,2,2,PICKUP,,00:00:00,,00:00:00,,
9000000154,110,1,2,PICKUP,423.0,13:02:42,424.0,13:02:42,,1.0
9000000155,1197,4121,1,Correo Argentino,284.0,00:38:46,288.0,00:38:46,TRK-MPCEM8ML7K,4.0
9000000156,833,2,2,PICKUP,543.0,15:18:07,544.0,15:18:07,,1.0
9000000157,371,3,2,PICKUP,,00:00:00,,00:00:00,,
9000000158,905,1,2,PICKUP,355.0,23:37:56,356.0,23:37:56,,1.0
9000000159,389,1303,1,Correo Argentino,437.0,06:58:24,442.0,06:58:24,TRK-7LRC6G1HAV,5.0
9000000160,1299,4,2,PICKUP,405.0,10:29:35,406.0,10:29:35,,1.0
9000000161,725,3908,1,Correo Argentino,536.0,00:31:01,540.0,00:31:01,TRK-ZU6O2A2X17,4.0
9000000162,645,4,2,PICKUP,818.0,20:20:03,819.0,20:20:03,,1.0
9000000163,584,1132,1,Correo Argentino,296.0,10:30:38,300.0,10:30:38,TRK-U6UA2YY3HB,4.0
9000000164,436,3758,1,Correo Argentino,660.0,06:18:41,662.0,06:18:41,TRK-TMG2PU2NU4,2.0
9000000165,293,3357,1,Correo Argentino,846.0,08:06:56,850.0,08:06:56,TRK-D8V0DBNSG3,4.0
9000000166,1065,3492,1,Correo Argentino,815.0,20:39:32,817.0,20:39:32,TRK-TTEUGQV2X2,2.0
9000000167,1234,3702,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000168,400,3523,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000169,251,2325,1,Correo Argentino,431.0,20:03:47,436.0,20:03:47,TRK-NM8H174TJH,5.0
9000000170,764,4,2,PICKUP,329.0,08:07:40,330.0,08:07:40,,1.0
9000000171,1490,3553,1,Correo Argentino,665.0,13:25:36,668.0,13:25:36,TRK-GZTE0MZNMX,3.0
9000000172,181,2801,1,Correo Argentino,369.0,09:39:45,373.0,09:39:45,TRK-DGOJGP2GBU,4.0
9000000173,693,2631,1,Correo Argentino,774.0,15:40:09,779.0,15:40:09,TRK-VBAXIAQJKB,5.0
9000000174,672,2,2,PICKUP,491.0,01:13:23,492.0,01:13:23,,1.0
9000000175,786,3157,1,Correo Argentino,393.0,19:23:40,396.0,19:23:40,TRK-WD62JC0VLK,3.0
9000000176,1347,2,2,PICKUP,662.0,07:13:53,663.0,07:13:53,,1.0
9000000177,628,1864,1,Correo Argentino,569.0,21:44:13,572.0,21:44:13,TRK-TSU2MSGQGV,3.0
9000000178,1485,2,2,PICKUP,729.0,06:20:13,730.0,06:20:13,,1.0
9000000179,805,3731,1,Correo Argentino,831.0,08:58:40,834.0,08:58:40,TRK-DOH59G5HG5,3.0
9000000180,445,1749,1,Correo Argentino,383.0,07:44:42,385.0,07:44:42,TRK-WTK41NS6CW,2.0
9000000181,560,1079,1,Correo Argentino,558.0,19:15:20,560.0,19:15:20,TRK-2HK5GYIMQ5,2.0
9000000182,403,3603,1,Correo Argentino,493.0,21:03:06,500.0,21:03:06,TRK-3VO06V5F4C,7.0
9000000183,693,1,2,PICKUP,540.0,15:02:26,541.0,15:02:26,,1.0
9000000184,274,2,2,PICKUP,737.0,05:25:54,738.0,05:25:54,,1.0
9000000185,804,1940,1,Correo Argentino,441.0,22:03:50,446.0,22:03:50,TRK-XVT3OPQZDN,5.0
9000000186,1495,2360,1,Correo Argentino,453.0,17:31:33,455.0,17:31:33,TRK-6LCGCSEFEL,2.0
9000000187,48,1,2,PICKUP,649.0,20:45:02,650.0,20:45:02,,1.0
9000000188,661,3,2,PICKUP,841.0,17:59:12,842.0,17:59:12,,1.0
9000000189,984,2808,1,Correo Argentino,364.0,13:34:34,366.0,13:34:34,TRK-MZ7KO0QL4T,2.0
9000000190,1384,2968,1,Correo Argentino,398.0,16:15:54,403.0,16:15:54,TRK-X696GHSKZW,5.0
9000000191,788,1202,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000192,456,2,2,PICKUP,308.0,16:48:50,309.0,16:48:50,,1.0
9000000193,427,1691,1,Correo Argentino,287.0,04:24:55,290.0,04:24:55,TRK-N0C9SM2QFJ,3.0
9000000194,866,3570,1,Correo Argentino,863.0,14:18:48,868.0,14:18:48,TRK-7MYF01NWQ1,5.0
9000000195,371,1596,1,Correo Argentino,666.0,05:52:06,670.0,05:52:06,TRK-5950NTLRAC,4.0
9000000196,1000,2380,1,Correo Argentino,833.0,22:25:58,835.0,22:25:58,TRK-3RJ4BIOHK0,2.0
9000000197,1404,1791,1,Correo Argentino,341.0,00:49:19,343.0,00:49:19,TRK-M0DL4YCPUU,2.0
9000000198,1159,1784,1,Correo Argentino,275.0,12:21:07,278.0,12:21:07,TRK-XPU46U15UT,3.0
9000000199,1040,3793,1,Correo Argentino,685.0,13:29:11,690.0,13:29:11,TRK-O91D35I9X4,5.0
9000000200,464,3533,1,Correo Argentino,510.0,16:00:56,513.0,16:00:56,TRK-LSZKZN0LYI,3.0
9000000201,166,3937,1,Correo Argentino,562.0,21:49:12,565.0,21:49:12,TRK-WPOOZWRSXF,3.0
9000000202,1056,3,2,PICKUP,692.0,16:10:42,693.0,16:10:42,,1.0
9000000203,925,3,2,PICKUP,562.0,23:47:20,563.0,23:47:20,,1.0
9000000204,488,1253,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000205,903,1894,1,Correo Argentino,515.0,10:39:53,519.0,10:39:53,TRK-Q495C57TPW,4.0
9000000206,70,2088,1,Correo Argentino,814.0,06:57:55,818.0,06:57:55,TRK-YOZRB7EYB4,4.0
9000000207,1459,2326,1,Correo Argentino,734.0,08:30:13,736.0,08:30:13,TRK-MXL244VRBJ,2.0
9000000208,500,2,2,PICKUP,707.0,20:08:06,708.0,20:08:06,,1.0
9000000209,361,2293,1,Correo Argentino,700.0,02:36:42,702.0,02:36:42,TRK-QS7JP1ILRI,2.0
9000000210,476,3586,1,Correo Argentino,686.0,15:20:10,688.0,15:20:10,TRK-HMK0UFUCGU,2.0
9000000211,1400,1,2,PICKUP,806.0,23:54:49,807.0,23:54:49,,1.0
9000000212,945,1882,1,Correo Argentino,656.0,13:52:44,660.0,13:52:44,TRK-EI5CQOM3OQ,4.0
9000000213,1443,1896,1,Correo Argentino,348.0,02:19:09,351.0,02:19:09,TRK-JVXGL1QGOU,3.0
9000000214,1430,3683,1,Correo Argentino,442.0,23:42:13,444.0,23:42:13,TRK-3LP62TMLP0,2.0
9000000215,1330,2575,1,Correo Argentino,270.0,19:10:09,274.0,19:10:09,TRK-W5E1QML5MQ,4.0
9000000216,274,1502,1,Correo Argentino,737.0,12:35:04,742.0,12:35:04,TRK-AYM9Q11ZOD,5.0
9000000217,1251,2,2,PICKUP,336.0,10:08:16,337.0,10:08:16,,1.0
9000000218,176,1546,1,Correo Argentino,427.0,15:57:47,431.0,15:57:47,TRK-CP4OTN8HPB,4.0
9000000219,42,2,2,PICKUP,404.0,19:28:12,405.0,19:28:12,,1.0
9000000220,582,2929,1,Correo Argentino,871.0,02:23:58,875.0,02:23:58,TRK-C1TLW78F6M,4.0
9000000221,4,1,2,PICKUP,733.0,07:54:39,734.0,07:54:39,,1.0
9000000222,569,2,2,PICKUP,483.0,13:00:53,484.0,13:00:53,,1.0
9000000223,157,1,2,PICKUP,599.0,00:04:43,600.0,00:04:43,,1.0
9000000224,649,1307,1,Correo Argentino,688.0,13:07:04,690.0,13:07:04,TRK-E3PPMBLC09,2.0
9000000225,1230,2399,1,Correo Argentino,824.0,09:56:58,828.0,09:56:58,TRK-JVVF010AIA,4.0
9000000226,197,3863,1,Correo Argentino,439.0,19:12:34,444.0,19:12:34,TRK-JJUIDCE74A,5.0
9000000227,731,3590,1,Correo Argentino,440.0,23:54:57,442.0,23:54:57,TRK-GSHXM42YVK,2.0
9000000228,506,3643,1,Correo Argentino,693.0,04:05:29,697.0,04:05:29,TRK-INJV5S1HHW,4.0
9000000229,751,2,2,PICKUP,,00:00:00,,00:00:00,,
9000000230,485,2337,1,Correo Argentino,605.0,11:56:27,610.0,11:56:27,TRK-9MRQVD7X1J,5.0
9000000231,823,1053,1,Correo Argentino,401.0,16:32:56,403.0,16:32:56,TRK-YP7VNSGOLC,2.0
9000000232,680,2493,1,Correo Argentino,659.0,21:34:52,663.0,21:34:52,TRK-DZYUMNQIZK,4.0
9000000233,417,3089,1,Correo Argentino,565.0,08:54:06,567.0,08:54:06,TRK-BP8B1VFO0G,2.0
9000000234,677,3201,1,Correo Argentino,755.0,23:24:47,760.0,23:24:47,TRK-4Z78IY664L,5.0
9000000235,1327,2,2,PICKUP,,00:00:00,,00:00:00,,
9000000236,593,1,2,PICKUP,610.0,07:17:21,611.0,07:17:21,,1.0
9000000237,606,1,2,PICKUP,559.0,19:03:35,560.0,19:03:35,,1.0
9000000238,137,2,2,PICKUP,687.0,06:27:32,688.0,06:27:32,,1.0
9000000239,487,2633,1,Correo Argentino,292.0,05:28:37,297.0,05:28:37,TRK-6QXN6I8BLI,5.0
9000000240,909,3062,1,Correo Argentino,535.0,17:29:14,540.0,17:29:14,TRK-X7LOFOLANG,5.0
9000000241,179,1,2,PICKUP,525.0,10:32:46,526.0,10:32:46,,1.0
9000000242,183,3013,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000243,536,1823,1,Correo Argentino,766.0,09:40:04,770.0,09:40:04,TRK-36SR7I0SAS,4.0
9000000244,1341,1,2,PICKUP,497.0,02:03:43,498.0,02:03:43,,1.0
9000000245,378,1,2,PICKUP,734.0,00:51:09,735.0,00:51:09,,1.0
9000000246,548,1533,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000247,757,4127,1,Correo Argentino,578.0,02:46:27,583.0,02:46:27,TRK-F075G514A9,5.0
9000000248,522,4,2,PICKUP,540.0,11:08:17,541.0,11:08:17,,1.0
9000000249,1384,3,2,PICKUP,350.0,07:55:19,351.0,07:55:19,,1.0
9000000250,473,1839,1,Correo Argentino,506.0,10:33:48,510.0,10:33:48,TRK-PUN6EN1KQ1,4.0
9000000251,1316,3,2,PICKUP,315.0,03:55:16,316.0,03:55:16,,1.0
9000000252,1356,1,2,PICKUP,302.0,17:29:06,303.0,17:29:06,,1.0
9000000253,266,2460,1,Correo Argentino,720.0,10:25:30,725.0,10:25:30,TRK-TSK3A0YQ6W,5.0
9000000254,1359,2,2,PICKUP,527.0,05:27:13,528.0,05:27:13,,1.0
9000000255,843,3929,1,Correo Argentino,467.0,02:28:16,471.0,02:28:16,TRK-8BWQRUEYS2,4.0
9000000256,599,1101,1,Correo Argentino,516.0,05:52:27,520.0,05:52:27,TRK-RVD511UODZ,4.0
9000000257,1048,1,2,PICKUP,756.0,14:07:49,757.0,14:07:49,,1.0
9000000258,319,4044,1,Correo Argentino,602.0,23:32:30,604.0,23:32:30,TRK-KXPDA6C6W5,2.0
9000000259,846,1971,1,Correo Argentino,854.0,10:28:53,857.0,10:28:53,TRK-20HMH74UZ5,3.0
9000000260,1491,3535,1,Correo Argentino,588.0,00:31:19,591.0,00:31:19,TRK-XYI1O46MZJ,3.0
9000000261,79,2362,1,Correo Argentino,833.0,21:42:26,835.0,21:42:26,TRK-D0N515YRWY,2.0
9000000262,748,4051,1,Correo Argentino,564.0,19:38:35,569.0,19:38:35,TRK-97AXUHZD9O,5.0
9000000263,537,4142,1,Correo Argentino,607.0,19:25:31,610.0,19:25:31,TRK-FYNETUY56H,3.0
9000000264,303,2,2,PICKUP,837.0,08:26:01,838.0,08:26:01,,1.0
9000000265,1065,2753,1,Correo Argentino,359.0,04:48:14,364.0,04:48:14,TRK-2JRCHT1TPG,5.0
9000000266,606,2854,1,Correo Argentino,734.0,10:36:52,736.0,10:36:52,TRK-VA6AR1AR6U,2.0
9000000267,553,2628,1,Correo Argentino,301.0,01:23:56,305.0,01:23:56,TRK-QI2WJJ807C,4.0
9000000268,656,1357,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000269,786,2398,1,Correo Argentino,,00:00:00,,00:00:00,,
